Index,Value
0,0.011612967
1,0.029640077
2,0.009788089
3,0.020569213
4,0.011327843
5,0.026085127
6,0.069870601
7,0.052376623
8,0.012724481
9,0.023204351
10,0.001986254
11,0.01105246
12,0.000222652
13,0.019128745
14,0.032857212
15,0.01606508
16,7.61E-07
17,0.00889155
18,0.076957009
19,0.333446628
20,0.003124147
21,0.019071044
22,2.58E-05
23,0.207482478
24,0.06134999
25,0.272309136
26,0.007950785
27,0.014928641
28,0.006617165
29,0.032336061
30,0.060182226
31,0.007192129
32,0.02863836
33,0.064305266
34,0.003882401
35,0.000229922
36,0.002939078
37,0.070104048
38,0.191501522
39,0.037814432
40,0.096184949
41,0.057836927
42,0.000829686
43,5.05E-05
44,0.086375369
45,0.028675829
46,0.020928485
47,0.02109732
48,0.084900956
49,0.074934949
50,0.044825657
51,0.007051983
52,0.113233848
53,0.002160794
54,0.239053626
55,0.003520592
56,0.042865387
57,0.000337529
58,0.001925278
59,0.069885459
60,0.001003847
61,0.024175107
62,0.025856612
63,0.001971992
64,0.056747516
65,0.000953631
66,0.06778715
67,0.040721571
68,0.131317033
69,0.036471059
70,0.08391
71,0.055800652
72,0.043589186
73,0.009051303
74,0.09955969
75,0.002780907
76,0.033317679
77,0.02814894
78,0.001042733
79,0.111189387
80,0.079299629
81,0.002240477
82,0.026546643
83,0.058832967
84,0.06730592
85,0.04513203
86,0.049462275
87,0.020760683
88,0.190408699
89,0.350536554
90,0.000917972
91,0.281516381
92,0.001950238
93,0.053124522
94,0.001865722
95,0.078971388
96,0.115938435
97,0.004898461
98,0.001198059
99,0.078146342
100,0.306845766
101,0.065846685
102,0.179798061
103,0.076321082
104,0.07205868
105,0.111477511
106,0.03186513
107,0.012161917
108,0.038635925
109,0.121230318
110,0.037501886
111,0.005565067
112,0.050354226
113,0.042052118
114,0.00027629
115,0.063692655
116,0.283580793
117,0.010580522
118,0.171401024
119,8.61E-05
120,0.024861271
121,0.131652916
122,0.018582989
123,0.013162491
124,0.305434606
125,0.017644851
126,0.010893662
127,0.037942836
128,0.117430088
129,0.018600787
130,0.038663156
131,0.035976607
132,0.004270858
133,0.005114263
134,0.05036526
135,0.001737971
136,0.001213584
137,0.031078066
138,0.079275082
139,0.161712981
140,0.055517202
141,0.100196319
142,0.087778416
143,0.008303917
144,0.023800044
145,0.068936354
146,0.003241804
147,0.16208725
148,0.039289094
149,0.024151087
150,0.008764338
151,0.195562465
152,0.011344016
153,0.047233665
154,0.010525714
155,0.004503546
156,0.000407975
157,0.057656869
158,0.002847739
159,0.024136645
160,0.0205819
161,0.055074767
162,3.28E-05
163,0.109248692
164,0.116428328
165,0.005160453
166,0.021925733
167,0.000893608
168,0.005232083
169,0.00683684
170,0.000338146
171,0.218659193
172,0.192287713
173,0.013070098
174,0.071924004
175,0.005571946
176,0.006332305
177,0.011061132
178,0.01522859
179,0.193439372
180,0.014343163
181,0.042175548
182,0.016530249
183,0.000589023
184,0.048133635
185,0.000361646
186,0.229584532
187,5.12E-05
188,0.038677156
189,0.058643666
190,0.115315831
191,0.002921182
192,0.018099094
193,0.045025383
194,0.018921797
195,0.000811064
196,0.019191436
197,0.000456813
198,0.012140903
199,0.188230447
200,0.006458633
201,0.053092803
202,0.012774148
203,0.01308569
204,0.056771163
205,0.020342421
206,0.03259742
207,0.002670944
208,0.001394526
209,0.028007331
210,0.081272708
211,0.020117471
212,0.071219405
213,0.010155052
214,0.005238496
215,0.151254613
216,0.057959312
217,0.123526695
218,0.002650048
219,0.087701762
220,0.035062343
221,0.144863398
222,0.023315544
223,0.144099443
224,0.019091066
225,0.009006966
226,0.001234839
227,0.013156052
228,0.198570885
229,0.018597403
230,0.00692897
231,0.017925948
232,0.071897366
233,0.191966245
234,0.018402603
235,0.001971992
236,0.031024927
237,0.137890277
238,0.566580264
239,0.007051983
240,0.631418675
241,0.002192385
242,0.003967668
243,0.130053721
244,0.286778578
245,0.060117333
246,0.039220876
247,0.000261282
248,0.009149348
249,0.035817688
250,0.188164716
251,0.045264929
252,0.005642745
253,0.016720294
254,0.217241582
255,0.051791021
256,0.007702662
257,0.234303408
258,0.015267356
259,0.002669097
260,0.031373714
261,0.404890046
262,0.000211981
263,0.075168672
264,0.014419266
265,0.000196326
266,0.001419542
267,0.028519075
268,0.032058946
269,0.001725162
270,0.014538767
271,0.109875179
272,0.218135352
273,0.008439771
274,0.000600315
275,0.012828388
276,0.000216447
277,0.16630659
278,0.012437923
279,0.025591111
280,0.05351563
281,0.014270644
282,0.00978659
283,0.012086274
284,0.000783499
285,0.014719951
286,0.007502071
287,0.001386005
288,0.036435545
289,0.048093061
290,0.001264608
291,0.02214301
292,0.185319933
293,0.008134987
294,0.210579185
295,0.041056694
296,0.005725702
297,0.005618868
298,0.053958655
299,0.019279836
300,0.032165032
301,0.085083149
302,0.000225247
303,0.000258212
304,0.000303304
305,0.190990869
306,0.071381094
307,0.002011787
308,0.104728208
309,0.068806122
310,0.005797566
311,0.015745968
312,0.018197919
313,0.050185692
314,0.018622828
315,0.050465813
316,0.010739305
317,0.07665703
318,0.012786079
319,0.000288666
320,0.000434727
321,0.006318608
322,0.03236852
323,0.013989388
324,0.001902907
325,0.019693245
326,0.024711074
327,0.030043438
328,0.418940881
329,0.015141943
330,0.200302928
331,0.034374155
332,0.087036428
333,0.051421988
334,0.016596562
335,0.245677642
336,0.142935154
337,0.004004422
338,0.023008788
339,0.050495697
340,0.139383406
341,0.014055363
342,0.229156327
343,0.008425832
344,0.012396769
345,0.157588415
346,0.053928082
347,0.054133582
348,0.000602398
349,0.000227546
350,0.099960674
351,0.02860354
352,0.109204796
353,0.083138924
354,0.011910274
355,0.013981077
356,0.002614893
357,0.008414264
358,0.014662811
359,0.011988351
360,0.055772199
361,0.084041265
362,0.157631017
363,0.061506038
364,0.102955055
365,0.184381306
366,0.003773627
367,0.000157074
368,0.093710044
369,0.278378387
370,0.109052409
371,0.002134004
372,0.001296751
373,0.234738913
374,0.108962725
375,0.036625473
376,0.064370487
377,0.013704194
378,0.064253251
379,0.091559397
380,0.012934767
381,0.007423885
382,0.283859872
383,0.000561654
384,0.083001508
385,3.89E-05
386,0.01996034
387,0.003730858
388,0.001219116
389,0.114642409
390,0.00223426
391,0.027701304
392,0.002894808
393,0.003553559
394,0.101819317
