Index,Value
0,0.003783815
1,0.237216274
2,0.031356395
3,0.006121726
4,0.006807144
5,0.000194039
6,0.001151446
7,0.125123989
8,0.056080422
9,0.025827412
10,0.000143043
11,0.001158108
12,0.070972894
13,0.022967403
14,0.000113895
15,0.000254653
16,0.015348602
17,0
18,0.01157092
19,0.006341412
20,4.28E-06
21,0.000768147
22,0.128389674
23,0.011346688
24,0.10619883
25,0.011952936
26,0.089583852
27,0.008822673
28,0.004186882
29,8.05E-05
30,0.00269792
31,0.006000971
32,2.91E-05
33,0.009737357
34,0.070821819
35,0.021437721
36,5.16E-05
37,6.36E-05
38,4.96E-05
39,2.61E-05
40,0.003070809
41,0.00040493
42,0.000630679
43,0.000159809
44,0.067166411
45,0.015733704
46,0.02268171
47,4.53E-05
48,0.025405207
49,0.013402921
50,0.073918282
51,0
52,0.002767551
53,0.068163743
54,0.03014068
55,0.019502011
56,0.010801085
57,0.012097792
58,0
59,0.06232021
60,0.06232021
61,0.193411673
62,0.018458946
63,0.017940496
64,4.85E-05
65,0.007255752
66,0.016824528
67,0.078159728
68,0.000276004
69,0.019586988
70,0.00018311
71,0.002591023
72,0.033200187
73,0.026242638
74,0.006707249
75,0.104693321
76,0.048360625
77,0.004186882
78,0.093441074
79,0
80,0.020719742
81,0.026813224
82,0.013287375
83,0.012369075
84,0.002261697
85,0.025146199
86,1.19E-05
87,0.011346688
88,0.006504873
89,0.004824036
90,0.000519858
91,0.161781299
92,0.049967333
93,0.013166244
94,0.049834026
95,0
96,3.10E-05
97,0.035983799
98,0.01372238
99,0.86200107
100,0.017312792
101,0.060447844
102,2.20E-05
103,0
104,0.130382816
105,0.120000025
106,0.003183629
107,0.045665228
108,0.003225224
109,2.77E-05
110,0
111,0.002744991
112,0.171260184
113,4.96E-05
114,0.007726984
115,0.011332005
116,5.16E-05
117,0.000285817
118,3.81E-06
119,0.086304491
120,0.075149569
121,0.008070264
122,0.000203243
123,0.025841978
124,0.002543008
125,3.78E-05
126,0.085045157
127,0.044837511
128,0.305525091
129,0.063966302
130,0.000161082
131,0.043018345
132,0.166171023
133,0.013629532
134,0.013868229
135,0.005000245
136,0.066414133
137,0.005878399
138,0.127032087
139,0.028348061
140,2.07E-05
141,0.229121939
142,0.011349547
143,1.43E-05
144,0.010801085
145,0.003440799
146,0.006264794
147,0
148,0.038825224
149,0.121135416
150,5.51E-05
151,0.099119412
152,0.024715226
153,0.000149053
154,0.042259247
155,0.057007013
